x, f(x)
0.000000,0.943129
0.101000,1.051913
0.202000,1.136065
0.303000,1.193614
0.404000,1.223213
0.505000,1.224169
0.606000,1.196459
0.707000,1.140732
0.808000,1.058293
0.909000,0.951073
1.010000,0.821582
1.111000,0.672852
1.212000,0.508367
1.313000,0.331977
1.414000,0.147814
1.515000,-0.039811
1.616000,-0.226503
1.717000,-0.407891
1.818000,-0.579728
1.919000,-0.737990
2.020000,-0.878971
2.121000,-0.999369
2.222000,-1.096366
2.323000,-1.167690
2.424000,-1.211670
2.525000,-1.227278
2.626000,-1.214147
2.727000,-1.172585
2.828000,-1.103565
2.929000,-1.008703
3.030000,-0.890222
3.131000,-0.750894
3.232000,-0.593983
3.333000,-0.423164
3.434000,-0.242435
3.535000,-0.056029
3.636000,0.131689
3.737000,0.316323
3.838000,0.493550
3.939000,0.659220
4.040000,0.809453
4.141000,0.940731
4.242000,1.049981
4.343000,1.134645
4.444000,1.192738
4.545000,1.222902
4.646000,1.224430
4.747000,1.197287
4.848000,1.142107
4.949000,1.060183
5.051000,0.952260
5.152000,0.822977
5.253000,0.674423
5.354000,0.510077
5.455000,0.333786
5.556000,0.149680
5.657000,-0.037932
5.758000,-0.224656
5.859000,-0.406118
5.960000,-0.578071
6.061000,-0.736488
6.162000,-0.877658
6.263000,-0.998277
6.364000,-1.095520
6.465000,-1.167110
6.566000,-1.211370
6.667000,-1.227264
6.768000,-1.214420
6.869000,-1.173138
6.970000,-1.104386
7.071000,-1.009773
7.172000,-0.891514
7.273000,-0.752380
7.374000,-0.595627
7.475000,-0.424927
7.576000,-0.244277
7.677000,-0.057906
7.778000,0.129820
7.879000,0.314507
7.980000,0.491829
8.081000,0.657634
8.182000,0.808039
8.283000,0.939523
8.384000,1.049007
8.485000,1.133927
8.586000,1.192294
8.687000,1.222742
8.788000,1.224558
8.889000,1.197698
8.990000,1.142793
9.091000,1.061128
9.192000,0.954615
9.293000,0.825748
9.394000,0.677545
9.495000,0.513477
9.596000,0.337384
9.697000,0.153392
9.798000,-0.034193
9.899000,-0.220977
10.000000,-0.402587
