x, f(x)
0.000000,1.023561
0.101000,1.030672
0.202000,1.031072
0.303000,1.021945
0.404000,0.998833
0.505000,0.954694
0.606000,0.879161
0.707000,0.760354
0.808000,0.596784
0.909000,0.429547
1.010000,0.334349
1.111000,0.176599
1.212000,0.056158
1.313000,-0.104288
1.414000,-0.219057
1.515000,-0.303876
1.616000,-0.399266
1.717000,-0.468150
1.818000,-0.512868
1.919000,-0.527806
2.020000,-0.538706
2.121000,-0.494280
2.222000,-0.494510
2.323000,-0.459326
2.424000,-0.374471
2.525000,-0.322470
2.626000,-0.261298
2.727000,-0.199518
2.828000,-0.095584
2.929000,0.031975
3.030000,-0.023449
3.131000,0.231225
3.232000,-0.051626
3.333000,-0.087971
3.434000,0.227006
3.535000,0.305037
3.636000,0.187814
3.737000,0.013667
3.838000,0.186253
3.939000,-0.232435
4.040000,-0.207629
4.141000,0.551648
4.242000,0.164641
4.343000,0.247139
4.444000,0.307447
4.545000,0.066532
4.646000,0.146519
4.747000,-0.025028
4.848000,-0.075513
4.949000,0.192287
5.051000,0.046605
5.152000,0.105840
5.253000,0.113833
5.354000,0.000167
5.455000,0.366225
5.556000,0.060361
5.657000,0.709975
5.758000,-0.020999
5.859000,-0.035496
5.960000,0.011901
6.061000,0.042855
6.162000,-0.073181
6.263000,0.070753
6.364000,-0.017285
6.465000,0.024541
6.566000,-0.276033
6.667000,0.348111
6.768000,-0.008970
6.869000,-0.276643
6.970000,-0.083227
7.071000,-0.338819
7.172000,-0.139403
7.273000,-0.429045
7.374000,0.138237
7.475000,-0.048404
7.576000,0.373735
7.677000,0.297426
7.778000,-0.086312
7.879000,0.042118
7.980000,0.095004
8.081000,0.121246
8.182000,-0.074344
8.283000,0.014143
8.384000,0.023400
8.485000,0.331579
8.586000,0.171338
8.687000,-0.342467
8.788000,-0.042898
8.889000,0.319085
8.990000,-0.112270
9.091000,0.008460
9.192000,0.152115
9.293000,0.364502
9.394000,0.146023
9.495000,0.097317
9.596000,0.046092
9.697000,-0.190727
9.798000,0.311338
9.899000,-0.263983
10.000000,0.006508
