t, f(t)
0.000000,0.992434
0.010000,0.991157
0.020000,0.989781
0.030000,0.988305
0.040000,0.986731
0.051000,0.984885
0.061000,0.983104
0.071000,0.981224
0.081000,0.979247
0.091000,0.977171
0.101000,0.974998
0.111000,0.972727
0.121000,0.970359
0.131000,0.967893
0.141000,0.965331
0.152000,0.962402
0.162000,0.959637
0.172000,0.956777
0.182000,0.953821
0.192000,0.950770
0.202000,0.947623
0.212000,0.944382
0.222000,0.941046
0.232000,0.937617
0.242000,0.934093
0.253000,0.930109
0.263000,0.926390
0.273000,0.922578
0.283000,0.918674
0.293000,0.914678
0.303000,0.910590
0.313000,0.906412
0.323000,0.902143
0.333000,0.897783
0.343000,0.893334
0.354000,0.888337
0.364000,0.883701
0.374000,0.878976
0.384000,0.874163
0.394000,0.869263
0.404000,0.864277
0.414000,0.859203
0.424000,0.854044
0.434000,0.848799
0.444000,0.843470
0.455000,0.837510
0.465000,0.832004
0.475000,0.826415
0.485000,0.820743
0.495000,0.814989
0.505000,0.809154
0.515000,0.803237
0.525000,0.797241
0.535000,0.791164
0.545000,0.785009
0.556000,0.778147
0.566000,0.771828
0.576000,0.765431
0.586000,0.758957
0.596000,0.752408
0.606000,0.745784
0.616000,0.739085
0.626000,0.732312
0.636000,0.725465
0.646000,0.718547
0.657000,0.710853
0.667000,0.703784
0.677000,0.696645
0.687000,0.689436
0.697000,0.682158
0.707000,0.674812
0.717000,0.667399
0.727000,0.659919
0.737000,0.652372
0.747000,0.644761
0.758000,0.636314
0.768000,0.628568
0.778000,0.620759
0.788000,0.612888
0.798000,0.604956
0.808000,0.596963
0.818000,0.588911
0.828000,0.580799
0.838000,0.572630
0.848000,0.564403
0.859000,0.555289
0.869000,0.546945
0.879000,0.538546
0.889000,0.530093
0.899000,0.521587
0.909000,0.513029
0.919000,0.504420
0.929000,0.495761
0.939000,0.487051
0.949000,0.478293
0.960000,0.468604
0.970000,0.459747
0.980000,0.450844
0.990000,0.441895
1.000000,0.432903
